url	status	replacement	replacement_source	comment
http://forums.bethsoft.com/topic/1507269-gold-has-weight-11-major-bug/	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200220001417/http://forums.bethsoft.com/topic/1507269-gold-has-weight-11-major-bug/	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1510617-giving-gold-weight/	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200219173802/http://forums.bethsoft.com/topic/1510617-giving-gold-weight/	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1513057-relz-morrowind-overhaul-sounds-graphics-30-thread-6/?p=23900746	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200216224858/http://forums.bethsoft.com/topic/1513057-relz-morrowind-overhaul-sounds-graphics-30-thread-6/?p=23900746	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1520674-errors-mao-help/?p=24038178	DEFUNCT_HOSTNAME	https://web.archive.org/web/20250808165805/http://forums.bethsoft.com/topic/1520674-errors-mao-help/?p=24038178	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://gmml.pbwiki.com/Mod+Conflicts	DEFUNCT_HOSTNAME	https://web.archive.org/web/20090205202218/http://gmml.pbwiki.com/Mod+Conflicts	REQUEST	Redirects to a hosting platform page saying the site does not exist.
http://morrgraphext.wiki.sourceforge.net/Change+Log	DEFUNCT_HOSTNAME	https://web.archive.org/web/20090806005145/http://morrgraphext.wiki.sourceforge.net/Change+Log	REQUEST	TLS negotation fails.
http://mw.modhistory.com/download--1203	DEFUNCT_HOSTNAME	https://web.archive.org/web/20130113012127/http://mw.modhistory.com/download--1203	REQUEST	The request times out.
http://mw.modhistory.com/download--12114	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103113246/http://mw.modhistory.com/download--12114	REQUEST	The request times out.
http://mw.modhistory.com/download--12174	DEFUNCT_HOSTNAME	https://web.archive.org/web/20221025210611/https://mw.modhistory.com/download--12174	REQUEST	The request times out.
http://mw.modhistory.com/download--12454	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220912055714/https://mw.modhistory.com/download--12454	REQUEST	The request times out.
http://mw.modhistory.com/download--14634	DEFUNCT_HOSTNAME	https://web.archive.org/web/20180103142748/http://mw.modhistory.com/download--14634	REQUEST	The request times out.
http://mw.modhistory.com/download--15032	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103121705/http://mw.modhistory.com/download--15032	REQUEST	The request times out.
http://mw.modhistory.com/download--15033	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103121704/http://mw.modhistory.com/download--15033	REQUEST	The request times out.
http://mw.modhistory.com/download--15123	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103134052/http://mw.modhistory.com/download--15123	REQUEST	The request times out.
http://mw.modhistory.com/download--15169	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103133355/http://mw.modhistory.com/download--15169	REQUEST	The request times out.
http://mw.modhistory.com/download--1965	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220726192727/https://mw.modhistory.com/download--1965	REQUEST	The request times out.
http://mw.modhistory.com/download--3101	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103130748/http://mw.modhistory.com/download--3101	REQUEST	The request times out.
http://mw.modhistory.com/download--3663	DEFUNCT_HOSTNAME	https://web.archive.org/web/20141203204906/http://mw.modhistory.com/download--3663	REQUEST	The request times out.
http://mw.modhistory.com/download--5545	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103165956/http://mw.modhistory.com/download--5545	REQUEST	The request times out.
http://mw.modhistory.com/download--5667	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220805202241/https://mw.modhistory.com/download--5667	REQUEST	The request times out.
http://mw.modhistory.com/download--5773	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103132417/http://mw.modhistory.com/download--5773	REQUEST	The request times out.
http://mw.modhistory.com/download--5800	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103114007/http://mw.modhistory.com/download--5800	REQUEST	The request times out.
http://mw.modhistory.com/download--6317	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103140046/http://mw.modhistory.com/download--6317	REQUEST	The request times out.
http://mw.modhistory.com/download--6955	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220729082200/https://mw.modhistory.com/download--6955	REQUEST	The request times out.
http://mw.modhistory.com/download--7971	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103113955/http://mw.modhistory.com/download--7971	REQUEST	The request times out.
http://mw.modhistory.com/download--9321	DEFUNCT_HOSTNAME	https://web.archive.org/web/20180103135812/http://mw.modhistory.com/download--9321	REQUEST	The request times out.
http://mw.modhistory.com/download-1-10446	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-1-10446	INDEX	The request times out.
http://mw.modhistory.com/download-1-11736	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-1-11736	INDEX	The request times out.
http://mw.modhistory.com/download-1-13506	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-1-13506	INDEX	The request times out.
http://mw.modhistory.com/download-11-6546	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-11-6546	INDEX	The request times out.
http://mw.modhistory.com/download-13-10927	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-10927	INDEX	The request times out.
http://mw.modhistory.com/download-13-11921	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-11921	INDEX	The request times out.
http://mw.modhistory.com/download-13-13281	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-13281	INDEX	The request times out.
http://mw.modhistory.com/download-13-14917	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-14917	INDEX	The request times out.
http://mw.modhistory.com/download-13-15386	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-15386	INDEX	The request times out.
http://mw.modhistory.com/download-13-5019	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-5019	INDEX	The request times out.
http://mw.modhistory.com/download-13-6445	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-13-6445	INDEX	The request times out.
http://mw.modhistory.com/download-15-6248	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220729082242/https://mw.modhistory.com/download-15-6248	REQUEST	The request times out.
http://mw.modhistory.com/download-21-14097	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161022140953/http://mw.modhistory.com/download-21-14097	REQUEST	The request times out.
http://mw.modhistory.com/download-24-10661	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-24-10661	INDEX	The request times out.
http://mw.modhistory.com/download-26-10045	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103132159/http://mw.modhistory.com/download-26-10045	REQUEST	The request times out.
http://mw.modhistory.com/download-26-11913	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-26-11913	INDEX	The request times out.
http://mw.modhistory.com/download-26-13778	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-26-13778	INDEX	The request times out.
http://mw.modhistory.com/download-31-2662	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-31-2662	INDEX	The request times out.
http://mw.modhistory.com/download-31-2677	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-31-2677	INDEX	The request times out.
http://mw.modhistory.com/download-31-6360	DEFUNCT_HOSTNAME	https://web.archive.org/web/20201112042347/http://mw.modhistory.com/download-31-6360	REQUEST	The request times out.
http://mw.modhistory.com/download-35-11767	DEFUNCT_HOSTNAME	https://web.archive.org/web/20221002000625/https://mw.modhistory.com/download-35-11767	REQUEST	The request times out.
http://mw.modhistory.com/download-35-15149	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-35-15149	INDEX	The request times out.
http://mw.modhistory.com/download-37-15324	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-37-15324	INDEX	The request times out.
http://mw.modhistory.com/download-37-2814	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-37-2814	INDEX	The request times out.
http://mw.modhistory.com/download-4-1163	DEFUNCT_HOSTNAME	https://web.archive.org/web/20220726192723/https://mw.modhistory.com/download-4-1163	REQUEST	The request times out.
http://mw.modhistory.com/download-4-12572	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-4-12572	INDEX	The request times out.
http://mw.modhistory.com/download-4-12777	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-4-12777	INDEX	The request times out.
http://mw.modhistory.com/download-4-9683	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-4-9683	INDEX	The request times out.
http://mw.modhistory.com/download-44-10227	DEFUNCT_HOSTNAME	https://web.archive.org/web/20180606204357/http://mw.modhistory.com/download-44-10227	REQUEST	The request times out.
http://mw.modhistory.com/download-44-10678	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103152243/https://mw.modhistory.com/download-44-10678	INDEX	The request times out.
http://mw.modhistory.com/download-44-11124	DEFUNCT_HOSTNAME	https://web.archive.org/web/20161103184718/http://mw.modhistory.com/download-44-11124	REQUEST	The request times out.
http://mw.modhistory.com/download-44-11514	DEFUNCT_HOSTNAME	https://web.archive.org/web/20210919214843/https://mw.modhistory.com/download-44-11514	REQUEST	The request times out.
