fileName	gameId	fileId	modId	url
@_Sympfony_theTEST(EN)70%).esp	100	1000005665	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Sympfony_theTEST(RU).esp	100	1000005665	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(En)(Full).esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(En)(Lite).esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(En)_test.esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(En)compatible.esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(Ru)(Full).esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(Ru)(Lite).esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(Ru)_test.esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_Symphony_the_v1.8(Ru)compatible.esp	100	1000040562	43790	https://www.nexusmods.com/morrowind/mods/43790
@_dagonFellUp(EN)(FIX)(v1).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(EN)(FIX)(v1.5).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(EN)(v1).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(EN)(v1.5).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(RU)(FIX)(1.5).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(RU)(FIX)(v1).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(RU)(v1).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_dagonFellUp(RU)(v1.5).esp	100	1000004767	43933	https://www.nexusmods.com/morrowind/mods/43933
@_scripted_lightings(Symphony)(EN).esp	100	1000005169	44106	https://www.nexusmods.com/morrowind/mods/44106
@_scripted_lightings(Symphony)(RU).esp	100	1000005169	44106	https://www.nexusmods.com/morrowind/mods/44106
